BioSample_ID,SRA_accession,assembly_ID,collection_year,ISO_country_code,host,host_age,host_sex,isolate,isolation_source,isolation_source_category,isolation_latitude,isolation_longitude,genus,organism,AMR_associated_publications,Updated_phenotype_CLSI,Updated_phenotype_EUCAST,used_ECOFF,database,antibiotic_name,ast_standard,laboratory_typing_method,measurement,measurement_sign,measurement_units,platform,resistance_phenotype,species,antibiotic_ontology,antibiotic_ontology_link,country,geographical_region,geographical_subregion
SAMEA1032653,ERS044045,GCA_001087085.2,2001.0,USA,Homo sapiens,,,40241,nasopharynx,respiratory tract,42.4072107,-71.3824374,Streptococcus,Streptococcus pneumoniae,23644493;30465642,susceptible,susceptible,no,PATRIC;microreact,tetracycline,,broth dilution,0.25,=,mg/L,,,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA1020022,ERS036307,GCA_001087445.1,,ESP,Homo sapiens,,,SN11927,,,,,Streptococcus,Streptococcus pneumoniae,24957517,susceptible,susceptible,no,PATRIC;microreact,tetracycline,,broth dilution,1.0,=,mg/L,,,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Spain,Europe,Southern Europe
SAMEA1032497,ERS043849,GCA_001119465.2,2004.0,USA,Homo sapiens,,,R34-3028,nasopharynx,respiratory tract,42.4072107,-71.3824374,Streptococcus,Streptococcus pneumoniae,23644493;30465642,susceptible,susceptible,no,PATRIC;microreact,tetracycline,,broth dilution,0.5,<=,mg/L,,,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA1032524,ERS044121,GCA_001120545.2,2001.0,USA,Homo sapiens,,,304793,nasopharynx,respiratory tract,42.4072107,-71.3824374,Streptococcus,Streptococcus pneumoniae,23644493;30465642,susceptible,susceptible,no,PATRIC;microreact,tetracycline,,broth dilution,0.25,=,mg/L,,,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA1020173,ERS069369,GCA_001124445.1,1999.0,DEU,Homo sapiens,,,SPN13633,Pneumonia,respiratory tract,,,Streptococcus,Streptococcus pneumoniae,24957517,resistant,resistant,no,PATRIC;microreact,tetracycline,,broth dilution,16.0,=,mg/L,,,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Germany,Europe,Western Europe
SAMEA1032598,ERS043944,GCA_001127145.2,2004.0,USA,Homo sapiens,,,R34-3136,nasopharynx,respiratory tract,42.4072107,-71.3824374,Streptococcus,Streptococcus pneumoniae,23644493;30465642,resistant,resistant,no,PATRIC;microreact,tetracycline,,broth dilution,4.0,>,mg/L,,,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA1032690,ERS044152,GCA_001129845.2,2001.0,USA,Homo sapiens,,,427937,nasopharynx,respiratory tract,42.4072107,-71.3824374,Streptococcus,Streptococcus pneumoniae,23644493;30465642,susceptible,susceptible,no,PATRIC;microreact,tetracycline,,broth dilution,0.12,=,mg/L,,,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA1032578,ERS044097,GCA_001142545.2,2001.0,USA,Homo sapiens,,,208866,nasopharynx,respiratory tract,42.4072107,-71.3824374,Streptococcus,Streptococcus pneumoniae,23644493;30465642,resistant,resistant,no,PATRIC;microreact,tetracycline,,broth dilution,8.0,>,mg/L,,,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA1032585,ERS044161,GCA_001149705.2,2001.0,USA,Homo sapiens,,,459747,nasopharynx,respiratory tract,42.4072107,-71.3824374,Streptococcus,Streptococcus pneumoniae,23644493;30465642,susceptible,susceptible,no,PATRIC;microreact,tetracycline,,broth dilution,0.25,=,mg/L,,,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA1020353,ERS069019,GCA_001168465.2,2009.0,DEU,Homo sapiens,,,SN41911,Sepsis,blood,,,Streptococcus,Streptococcus pneumoniae,,susceptible,susceptible,no,PATRIC,tetracycline,,broth dilution,0.25,=,mg/L,,,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Germany,Europe,Western Europe
