assembly_ID,Updated_phenotype_CLSI
GCA_001087085.2,susceptible
GCA_001087445.1,susceptible
GCA_001119465.2,susceptible
GCA_001120545.2,susceptible
GCA_001124445.1,resistant
GCA_001127145.2,resistant
GCA_001129845.2,susceptible
GCA_001142545.2,resistant
GCA_001149705.2,susceptible
GCA_001168465.2,susceptible
GCA_001172305.2,resistant
GCA_001329175.1,resistant
GCA_035462815.1,resistant
GCA_035463195.1,resistant
GCA_035464395.1,resistant
GCA_035856635.1,resistant
GCA_035856695.1,resistant
GCA_035857465.1,susceptible
GCA_035861205.1,susceptible
GCA_035861785.1,susceptible
GCA_035861945.1,susceptible
GCA_035862525.1,susceptible
GCA_035863585.1,resistant
GCA_035863865.1,susceptible
GCA_035863885.1,susceptible
GCA_035864305.1,susceptible
GCA_035864845.1,susceptible
GCA_035864965.1,susceptible
GCA_035866785.1,susceptible
GCA_035867105.1,susceptible
GCA_035867405.1,susceptible
GCA_035868375.1,resistant
GCA_035868795.1,susceptible
GCA_035869255.1,susceptible
GCA_035869335.1,susceptible
GCA_035870335.1,susceptible
GCA_035870815.1,susceptible
GCA_035870875.1,susceptible
GCA_035873095.1,susceptible
GCA_035873635.1,susceptible
GCA_035874235.1,resistant
GCA_035877275.1,susceptible
GCA_035877415.1,susceptible
GCA_035877835.1,susceptible
GCA_035877995.1,resistant
GCA_035878095.1,resistant
GCA_035879395.1,susceptible
GCA_035880435.1,susceptible
GCA_035880515.1,susceptible
GCA_035881235.1,susceptible
GCA_035881615.1,susceptible
GCA_035918755.1,susceptible
GCA_035919505.1,susceptible
GCA_035929085.1,intermediate
GCA_035930165.1,susceptible
GCA_035930405.1,susceptible
GCA_035930525.1,susceptible
GCA_035931085.1,susceptible
GCA_035933335.1,resistant
GCA_035934095.1,susceptible
GCA_035934585.1,susceptible
GCA_035936895.1,susceptible
GCA_036046855.1,susceptible
GCA_036046955.1,susceptible
GCA_036047375.1,susceptible
GCA_036047595.1,susceptible
GCA_036196625.1,susceptible
GCA_900037005.2,resistant
GCA_900038125.2,resistant
GCA_900051135.2,resistant
GCA_900052415.2,intermediate
GCA_900052455.2,resistant
GCA_900055665.2,resistant
GCA_900057395.2,resistant
GCA_900059295.2,intermediate
GCA_900059335.2,resistant
GCA_900060855.2,intermediate
GCA_900061195.2,resistant
GCA_900065625.2,resistant
GCA_901212775.1,resistant
GCA_901213595.1,intermediate
GCA_901213765.1,intermediate
GCA_901213825.1,resistant
GCA_901214215.1,intermediate
GCA_901214475.1,resistant
GCA_901214595.1,susceptible
GCA_901214715.1,resistant
GCA_901215595.1,susceptible
GCA_901215815.1,intermediate
GCA_901215915.1,intermediate
GCA_901216605.1,resistant
GCA_901218125.1,resistant
GCA_901218995.1,intermediate
GCA_901224185.1,resistant
GCA_901224305.1,resistant
GCA_901224355.1,resistant
GCA_901224845.1,intermediate
GCA_901225185.1,susceptible
GCA_901225205.1,intermediate
GCA_901225585.1,resistant
GCA_901225885.1,susceptible
GCA_901226095.1,susceptible
GCA_901226145.1,intermediate
GCA_901226755.1,susceptible
GCA_901227335.1,intermediate
GCA_901227765.1,susceptible
GCA_901227805.1,susceptible
GCA_901227815.1,susceptible
GCA_901227935.1,susceptible
GCA_901228565.1,resistant
GCA_901228675.1,resistant
GCA_901229795.1,resistant
GCA_901230075.1,resistant
GCA_901230175.1,resistant
GCA_901230225.1,susceptible
GCA_901231145.1,intermediate
GCA_901231925.1,intermediate
GCA_901232475.1,intermediate
GCA_901232725.1,susceptible
GCA_901233985.1,resistant
GCA_901234025.1,intermediate
GCA_901234355.1,intermediate
GCA_901235165.1,intermediate
GCA_901235335.1,intermediate
GCA_901235415.1,intermediate
GCA_901235755.1,intermediate
GCA_901235945.1,intermediate
GCA_901236435.1,intermediate
GCA_901236915.1,intermediate
GCA_901237405.1,intermediate
GCA_901237515.1,intermediate
GCA_901237585.1,susceptible
GCA_901237755.1,intermediate
GCA_901238365.1,intermediate
GCA_901238505.1,intermediate
GCA_901238635.1,intermediate
GCA_901239145.1,intermediate
GCA_901239795.1,resistant
GCA_901240615.1,intermediate
GCA_901240825.1,susceptible
GCA_901241365.1,resistant
GCA_901241395.1,susceptible
GCA_901241845.1,resistant
GCA_901242105.1,intermediate
GCA_901242555.1,intermediate
GCA_901243605.1,resistant
GCA_901243705.1,intermediate
GCA_901244275.1,susceptible
GCA_901244355.1,intermediate
GCA_901244385.1,resistant
GCA_901244965.1,intermediate
GCA_901245345.1,resistant
GCA_901246025.1,resistant
GCA_901246185.1,intermediate
GCA_901246195.1,susceptible
GCA_901246725.1,resistant
GCA_901247115.1,intermediate
GCA_901247385.1,intermediate
GCA_901247715.1,intermediate
GCA_901248945.1,intermediate
GCA_901248975.1,intermediate
GCA_901249995.1,intermediate
GCA_901250075.1,resistant
GCA_901250705.1,intermediate
GCA_901250735.1,resistant
GCA_901251025.1,intermediate
GCA_901251085.1,resistant
GCA_901251955.1,intermediate
GCA_901252075.1,susceptible
GCA_901252455.1,susceptible
GCA_901252545.1,susceptible
GCA_901252625.1,intermediate
GCA_901253235.1,resistant
GCA_901253525.1,susceptible
GCA_901253535.1,intermediate
GCA_901253565.1,intermediate
GCA_901253765.1,intermediate
GCA_901255265.1,intermediate
GCA_901255385.1,intermediate
GCA_901256085.1,resistant
GCA_901256495.1,resistant
GCA_901257945.1,resistant
GCA_901258145.1,intermediate
GCA_901258425.1,intermediate
GCA_901258475.1,intermediate
GCA_901258505.1,intermediate
GCA_901259005.1,intermediate
GCA_901259215.1,intermediate
GCA_901260285.1,intermediate
GCA_901260355.1,resistant
GCA_901260785.1,resistant
GCA_901261035.1,resistant
GCA_901262045.1,intermediate
GCA_901262105.1,intermediate
GCA_901262875.1,resistant
GCA_901263635.1,susceptible
GCA_901263965.1,resistant
GCA_901264075.1,resistant
GCA_901264205.1,intermediate
GCA_901264805.1,intermediate
GCA_901264975.1,susceptible
GCA_901265845.1,susceptible
GCA_901266025.1,intermediate
GCA_901266555.1,resistant
GCA_901268905.1,resistant
GCA_901270505.1,susceptible
GCA_901270645.1,intermediate
GCA_901272455.1,resistant
GCA_901272945.1,intermediate
GCA_901273195.1,susceptible
GCA_901273555.1,resistant
GCA_901275675.1,resistant
GCA_901275745.1,intermediate
GCA_901276195.1,intermediate
GCA_901276365.1,intermediate
GCA_901277915.1,intermediate
GCA_901278135.1,intermediate
GCA_901280285.1,resistant
GCA_901280395.1,resistant
GCA_901280455.1,resistant
GCA_901280525.1,intermediate
GCA_901280615.1,resistant
GCA_901280935.1,resistant
GCA_901280945.1,susceptible
GCA_901282225.1,resistant
GCA_901282735.1,susceptible
GCA_901283845.1,resistant
GCA_901284035.1,intermediate
GCA_901284745.1,intermediate
GCA_901286305.1,susceptible
GCA_901286895.1,susceptible
GCA_901287145.1,susceptible
GCA_901287625.1,resistant
GCA_901287675.1,susceptible
GCA_901287855.1,resistant
GCA_901290595.1,resistant
GCA_901291655.1,intermediate
GCA_901292005.1,intermediate
GCA_901292225.1,resistant
GCA_901292255.1,intermediate
GCA_901292485.1,resistant
GCA_901293335.1,susceptible
GCA_901294285.1,susceptible
GCA_901294885.1,susceptible
GCA_901295655.1,susceptible
GCA_901296975.1,intermediate
GCA_901297025.1,susceptible
GCA_901298085.1,resistant
GCA_901299355.1,resistant
GCA_901299385.1,intermediate
GCA_901300505.1,intermediate
GCA_901303945.1,susceptible
GCA_901304685.1,susceptible
GCA_901305185.1,susceptible
GCA_901305545.1,susceptible
GCA_901307185.1,resistant
GCA_901307605.1,intermediate
GCA_901308455.1,resistant
GCA_901308525.1,intermediate
GCA_901308705.1,intermediate
GCA_901308735.1,susceptible
GCA_901309135.1,intermediate
GCA_901311765.1,resistant
GCA_901312365.1,susceptible
GCA_901313555.1,resistant
GCA_901314645.1,intermediate
GCA_901315275.1,resistant
